WikiRevId,LastTimestamp,ShouldRevert,NotSure,LooksGood
enwiki:945384527,1584122219,0,1,0
enwiki:945384533,1584122208,0,0,1
enwiki:945384535,1584122193,0,0,1
enwiki:945384539,1584122149,0,0,1
enwiki:945384542,1584122141,0,0,1
enwiki:945384557,1584122107,0,1,0
enwiki:945384563,1584122099,0,0,1
enwiki:945384564,1584122091,0,0,1
enwiki:945384574,1584122080,0,1,0
enwiki:945384575,1584122051,0,0,1
enwiki:945384577,1584122044,0,1,0
enwiki:945384579,1584122025,1,0,0
enwiki:945384582,1584121972,0,1,0
enwiki:945384588,1584121944,0,0,1
enwiki:945384599,1584121918,0,0,1
enwiki:945384601,1584121894,0,1,0
enwiki:945384602,1584121847,0,1,0
enwiki:945384106,1584121834,0,1,0
enwiki:945384119,1584121827,0,0,1
enwiki:945384185,1584121810,1,0,0
enwiki:945384328,1584121704,0,1,0
enwiki:945384364,1584121686,0,0,1
enwiki:945384538,1584121661,0,1,0
enwiki:945384598,1584121620,0,1,0
enwiki:945356480,1584104175,1,0,0
enwiki:945356497,1584104160,1,0,0
enwiki:945356519,1584104152,1,0,0
enwiki:945356680,1584104142,0,1,0
enwiki:945356710,1584104083,1,0,0
enwiki:945356772,1584104073,0,1,0
enwiki:945355974,1584103753,1,0,0
enwiki:945355978,1584103748,0,1,0
enwiki:945355992,1584103746,0,1,0
enwiki:945356264,1584103743,0,1,0
enwiki:945355993,1584103740,0,1,0
enwiki:945356214,1584103735,0,1,0
enwiki:945356207,1584103729,1,0,0
enwiki:945356009,1584103700,0,1,0
enwiki:945356190,1584103694,0,1,0
enwiki:945356046,1584103689,0,1,0
enwiki:945356072,1584103686,0,1,0
enwiki:945356097,1584103681,0,1,0
enwiki:945355595,1584103678,0,1,0
enwiki:945355661,1584103643,0,1,0
enwiki:945355722,1584103639,1,0,0
enwiki:945355740,1584103605,1,0,0
enwiki:945355828,1584103600,0,1,0
enwiki:945355937,1584103596,0,1,0
enwiki:945355987,1584103584,1,0,0
enwiki:945355479,1584103563,0,0,1
enwiki:945355489,1584103560,0,0,1
enwiki:945355495,1584103534,1,0,0
enwiki:945355507,1584103508,0,1,0
enwiki:945355513,1584103504,0,1,0
enwiki:945355540,1584103500,0,1,0
enwiki:945355541,1584103495,0,1,0
enwiki:945355543,1584103489,0,1,0
enwiki:945355552,1584103483,0,1,0
enwiki:945355555,1584103459,0,1,0
enwiki:945355058,1584103453,0,1,0
enwiki:945355571,1584103446,0,1,0
enwiki:945355757,1584103442,0,1,0
enwiki:945355580,1584103437,0,1,0
enwiki:945355111,1584103432,1,0,0
enwiki:945355214,1584103379,1,0,0
enwiki:945355373,1584103369,1,0,0
enwiki:945355447,1584103356,0,1,0
enwiki:945355460,1584103350,0,1,0
enwiki:945355475,1584103346,0,1,0
enwiki:945355545,1584103341,0,1,0
enwiki:945354979,1584103166,1,0,0
enwiki:945354974,1584103069,1,0,0
enwiki:945354972,1584103062,0,1,0
enwiki:945354968,1584103058,0,1,0
enwiki:945354963,1584103056,0,1,0
enwiki:945354948,1584103051,0,1,0
enwiki:945354919,1584103047,0,1,0
enwiki:945354921,1584103042,0,1,0
enwiki:945354910,1584103038,0,1,0
